English lemma,Swedish lemma,POS,status
redefinition,omdefiniering,N,automatically verified
reduce reduces reducing reduced reduction,minska minskar reducerande reducerat minskning,NP,no processing rule for swedish POS sequence
reduce,minska,V,automatically verified
reduction,reduktion,N,automatically verified
redundancy,överskott,N,automatically verified
redundant,överflödig,A,automatically verified
redundant design,redundant design,NP,automatically verified
redundant design,redundant konstruktion,NP,automatically verified
redundant design,redundant konstruktion,NP,automatically verified
redundant design,redundant konstruktion,NP,automatically verified
redundant design,redundant konstruktion,NP,automatically verified
redundant design,redundant konstruktion,NP,automatically verified
redundant design,redundant konstruktion,NP,automatically verified
redundant redundancy,redundanta redundans,NP,no processing rule for swedish POS sequence
refer refers referred reference reference,hänvisa hänvisar avses referens referenser,NP,suspected särskriving
reference,referens,N,automatically verified
refine,förfina,V,automatically verified
reflectance,reflexionsfaktor,N,automatically verified
reflection,reflektion,N,automatically verified
regard regarded regarding,beaktande betraktas beträffande,NP,no processing rule for swedish POS sequence
regardless,oavsett,Ab,automatically verified
regeneration,regenerering,N,automatically verified
region growing,regionodling,NP,automatically verified
region regional,regionen regionalt,NP,no processing rule for swedish POS sequence
region,område,N,automatically verified
register,registrera,V,automatically verified
register,register,N,automatically verified
register-transfer-level implementation,register - överföring - nivåimplementering,NP,no processing rule for swedish POS sequence
registrar registrar,registrator registratorer,NP,suspected särskriving
registration,registrering,N,automatically verified
registration registration,registrerings registreringar,NP,suspected särskriving
regular,regelbunden,A,automatically verified
regular,vanlig,A,automatically verified
regular expression,reguljärt uttryck,NP,automatically verified
regular expression,reguljärt uttryck,NP,automatically verified
regulation,reglering,N,automatically verified
regulation regulation,regler reglering,NP,suspected särskriving
reinforce,förstärka,V,automatically verified
reject rejecting rejected,förkasta förkasta förkastas,NP,no processing rule for swedish POS sequence
relate,relatera,V,automatically verified
relation system,relationssystem,NP,automatically verified
relation,relation,N,automatically verified
relational database,relationsdatabas,NP,automatically verified
relation,förbindelse,N,automatically verified
relations between model,relationer mellan modeller,NP,no processing rule for swedish POS sequence
relationship,samband,N,automatically verified
relatively,förhållandevis,Ab,automatically verified
relativized computation,relativiserad databehandling,NP,could not lemmatize swedish adjective
relaxation,relaxation,N,automatically verified
relaxed consistency,avslappnad konsistens,NP,automatically verified
release releases released,frigöra releaser frigjorda,NP,no processing rule for swedish POS sequence
relevance feedback,relevans återkoppling,NP,suspected särskriving
relevant,relevant,A,automatically verified
reliability,tillförlitlighet,N,automatically verified
reliability,tillförlitlighet,N,automatically verified
reliability,tillförlitlighet,N,automatically verified
reliability,tillförlitlighet,N,automatically verified
reliability,tillförlitlighet,N,automatically verified
reliability,tillförlitlighet,N,automatically verified
reliability,tillförlitlighet,N,automatically verified
reliable,pålitlig,A,automatically verified
reliable reliability,pålitlig tillförlitlighet,NP,automatically verified
reluctant,motvillig,A,automatically verified
remain remaining,förbli återstående,NP,no processing rule for swedish POS sequence
remember,minnas,V,automatically verified
reminder,påminnelse,N,automatically verified
remote,avlägsen,A,automatically verified
remote authentication dial in user service,fjärrautentisering uppringningsanvändarservice,NP,suspected särskriving
remote control user interface,fjärrkontroller användargränssnitt,NP,suspected särskriving
remote controlling,fjärrstyrning,NP,automatically verified
remote desktop,fjärrskrivbord,NP,automatically verified
remote management,fjärrhantering,NP,automatically verified
remote patient monitoring system,fjärrpatientövervakningssystem,NP,automatically verified
remote service,fjärrtjänst,NP,automatically verified
remote system,fjärrsystem,NP,automatically verified
remove removing removable,avlägsna avlägsnande avtagbar,NP,no processing rule for swedish POS sequence
rendering,rendering,N,automatically verified
rent,hyra,V,automatically verified
repeated repetition,upprepad upprepning,NP,automatically verified
replace replaces replacing replaced replacement,ersätt ersätter ersätter ersättas ersättning,NP,no processing rule for swedish POS sequence
replacement,ersättning,N,automatically verified
report,rapportera,V,automatically verified
report,rapport,N,automatically verified
reporting,rapportering,N,automatically verified
repository repository,förvaret förråd,NP,suspected särskriving
representation,representation,N,automatically verified
representation language,representationsspråk,NP,automatically verified
representation,representation,N,automatically verified
representation,representation,N,automatically verified
representation,representation,N,automatically verified
represented representing,representerade representerar,NP,no processing rule for swedish POS sequence
request,begäran,N,automatically verified
require,kräva,V,automatically verified
requirement,krav,N,automatically verified
requirements analysis,kravhantering,NP,automatically verified
requirements management,kravhantering,NP,automatically verified
requirements specification,kravspecifikation,NP,automatically verified
research institute,forskningsinstitut,NP,automatically verified
research policy,forskningspolitik,NP,automatically verified
research researcher,forskning forskare,NP,suspected särskriving
research,forskning,N,automatically verified
reservation reserved,reservationen reserverade,NP,no processing rule for swedish POS sequence
reservation,bokning,N,automatically verified
resilience,motståndskraft,N,automatically verified
resolution,resolution,N,automatically verified
resolution,upplösning,N,automatically verified
resolve resolved resolution,lösa löst upplösning,NP,no processing rule for swedish POS sequence
resource allocation,resursallokering,NP,automatically verified
resource event agent,resurs händelse agent,NP,suspected särskriving
resource management system,resurshanteringssystem,NP,automatically verified
resource monitoring,resurs övervakning,NP,suspected särskriving
resource planning,resursplanering,NP,automatically verified
resource priority,resurs prioritet,NP,suspected särskriving
resource requirement search,resurskravsökning,NP,automatically verified
resource reservation,resurs reservation,NP,suspected särskriving
resource resource,resurs resurser,NP,suspected särskriving
resource,resurs,N,automatically verified
resource-adaptive,resurs adaptiv,NP,no processing rule for swedish POS sequence
resource,resurs,N,automatically verified
respect respectively,respekt respektive,NP,no processing rule for swedish POS sequence
response,respons,N,automatically verified
responsibility distribution,ansvarsfördelning,NP,automatically verified
responsibility,ansvar,N,automatically verified
responsible on site,ansvarig på plats,NP,no processing rule for swedish POS sequence
restaurant,restaurang,N,automatically verified
restoration,restaurering,N,automatically verified
restore,återställa,V,automatically verified
result results resulted resulting,resultat resultaten resulte resulterande,NP,suspected särskriving
result,resultat,N,automatically verified
resume,återuppta,V,automatically verified
retrieve retrieving,hämta hämtning,NP,no processing rule for swedish POS sequence
return returns returning returned,åter avkastning återvänder tillbaka,NP,no processing rule for swedish POS sequence
reusable library,återanvändbara bibliotek,NP,could not lemmatize swedish adjective
reusable software,återanvändbara program,NP,could not lemmatize swedish adjective
reusable software,återanvändbara program,NP,could not lemmatize swedish adjective
reuse model,återanvändningsmodeller,NP,automatically verified
reuse re-use,återanvändning,NP,automatically verified
revenue model,intäktsmodell,NP,automatically verified
reverse engineering,omvänd ingenjörskonst,NP,automatically verified
revert,återgå,V,automatically verified
revised revision,reviderad revidering,NP,automatically verified
ring rings ringing,ringa ringer ringa,NP,no processing rule for swedish POS sequence
risk analysis,riskanalys,NP,automatically verified
risk assessment,riskbedömningsmetod,NP,automatically verified
risk auditing,riskuppföljning,NP,automatically verified
risk identification,riskidentifiering,NP,automatically verified
risk management,riskhantering,NP,automatically verified
risk management process,riskprocess,NP,automatically verified
risk perception,riskperception,NP,automatically verified
roadside,vägkant,N,automatically verified
robot,robot,N,automatically verified
robustness,robusthet,N,automatically verified
role,roll,N,automatically verified
role,roll,N,automatically verified
rotation,vridning,N,automatically verified
rough roughly,ungefärlig ungefär,NP,no processing rule for swedish POS sequence
roughness,ytråhet,N,automatically verified
round robin,round robin,NP,no processing rule for swedish POS sequence
round rounds rounding,runda rundor avrundnings,NP,no processing rule for swedish POS sequence
route routes routed routing,väg vägar dirigeras dirigering,NP,suspected särskriving
router platform development,router plattformsutveckling,NP,no processing rule for swedish POS sequence
router router,router,NP,automatically verified
routine,rutin,N,automatically verified
routing table,dirigeringstabell,NP,automatically verified
rule rule,regel regler,NP,suspected särskriving
rule,regel,N,automatically verified
run runs running,körning körs rinnande,NP,no processing rule for swedish POS sequence
run,köra,V,automatically verified
safety,säkerhet,N,automatically verified
safety,säkerhet,N,automatically verified
sale,försäljning,N,automatically verified
sales trend,försäljningsutveckling,NP,automatically verified
sample samples sampling sampled,prov prover provtagning samplade,NP,no processing rule for swedish POS sequence
sample,provsmaka,V,automatically verified
sampling,sampling,N,automatically verified
satellite communication,satellit kommunikationsnät,NP,suspected särskriving
satisfaction,tillfredsställelse,N,automatically verified
satisfy satisfactory,tillfreds tillfredsställande,NP,no processing rule for swedish POS sequence
save,spara,V,automatically verified
saves saved,sparar sparade,NP,no processing rule for swedish POS sequence
scalable vector graphic,skalbar vektorgrafik,NP,could not lemmatize swedish adjective
scale invariance,skala invarians,NP,no processing rule for swedish POS sequence
scale scales scaling,skala skalor skalnings,NP,no processing rule for swedish POS sequence
scale-invariant feature transform,skala invariant funktion transform,NP,suspected särskriving
scanning,bildinläsning,N,automatically verified
scanning,skanning,N,automatically verified
scanning,skanning,N,automatically verified
scenario analysis,scenarioanalys,NP,automatically verified
scene analysis,scenanalys,NP,automatically verified
scene graph,scen graf,NP,suspected särskriving
scheduling,schemaläggning,N,automatically verified
scheduling,schemaläggning,N,automatically verified
scheduling concept,schemaläggning koncept,NP,suspected särskriving
scheme scheme,schema scheman,NP,suspected särskriving
science literacy,naturvetenskaplig allmänbildning,NP,automatically verified
science sciences scientific scientist,vetenskap vetenskaper vetenskaplig vetenskapsmän,NP,suspected särskriving
science,vetenskap,N,automatically verified
scientific,vetenskaplig,A,automatically verified
scientific database,vetenskaplig databas,NP,automatically verified
scope,räckvidd,N,automatically verified
screen,skärm,N,automatically verified
screenplay,filmmanus,N,automatically verified
search behavior,sökbeteende,NP,automatically verified
search process,sökprocess,NP,automatically verified
search searching,sökning,NP,automatically verified
search,söka,V,automatically verified
second second,sekund sekunder,NP,suspected särskriving
secondary,sekundär,A,automatically verified
secondary storage,sekundärminne,NP,automatically verified
section,sektion,N,automatically verified
section,sektion,N,automatically verified
sector,sektor,N,automatically verified
secure access,säker åtkomst,NP,automatically verified
secure element,säkerhetselement,NP,automatically verified
secure financial transaction,säkra finansiella transaktioner,NP,no processing rule for swedish POS sequence
secure neighbor discovery,säkra granne upptäckt,NP,no processing rule for swedish POS sequence
secure real-time protocol,säkert realtidsprotokoll,NP,automatically verified
secure real-time transport protocol,säker realtidstransportprotokoll,NP,automatically verified
secure secured security,säkra säkrat säkerhet,NP,no processing rule for swedish POS sequence
security,säkerhet,N,automatically verified
security,säkerhet,N,automatically verified
security,säkerhet,N,automatically verified
security as a service,säkerhet som en tjänst,NP,no processing rule for swedish POS sequence
security awareness,säkerhetsmedvetande,NP,automatically verified
security awareness program,säkerhetsmedvetande programmet,NP,no processing rule for swedish POS sequence
security function,säkerhetsfunktion,NP,automatically verified
security guard,säkerhetsvakt,NP,automatically verified
security kernel,säkerhetskärna,NP,automatically verified
security policy,säkerhetspolitik,NP,automatically verified
security policy database,säkerhetspolitik databas,NP,suspected särskriving
security protocol,säkerhetsprotokoll,NP,automatically verified
security risk,säkerhetsrisk,NP,automatically verified
security,säkerhet,N,automatically verified
see,se,V,automatically verified
segment segmented segmentation,segmentet segmente segmenterad,NP,suspected särskriving
seismic,seismisk,A,automatically verified
select selects selectively selected selective selection,väljer selektivt valda selektiva urvalet,NP,no processing rule for swedish POS sequence
select,välja,V,automatically verified
selection,val,N,automatically verified
selection process,selekteringsprocess,NP,automatically verified
selection sort,urvalssortering,NP,automatically verified
selection,urval,N,automatically verified
selective,selektiv,A,automatically verified
self test,självtest,NP,automatically verified
self-configuration,själv konfiguration,NP,automatically verified
self-service business intelligence,självbetjäning omvärldsbevakning,NP,suspected särskriving
selling,säljande,N,automatically verified
semantic,semantisk,A,automatically verified
semantic interoperability,semantisk interoperabilitet,NP,automatically verified
semantic network,semantiskt nät,NP,automatically verified
semiconductor memory,halvledarminnen,NP,automatically verified
seminar,seminarium,N,automatically verified
send sends sending,skicka sänder sändande,NP,suspected särskriving
sender sender,avsändare avsändare,NP,suspected särskriving
sense sensing,känna avkännande,NP,no processing rule for swedish POS sequence
sense,förstå,V,automatically verified
sense,sinne,N,automatically verified
sensitive sensitivity,känslig känslighet,NP,automatically verified
sensor fusion,sensorfusion,NP,automatically verified
sensor network,sensornätverk,NP,automatically verified
sensor system,sensorsystem,NP,automatically verified
sensor,sensor,N,automatically verified
sensor,sensor,N,automatically verified
separable,separerbar,A,automatically verified
separate,åtskilja,V,automatically verified
sequence,sekvens,N,automatically verified
sequential bifurcation,sekventiell bifurkation,NP,could not lemmatize swedish adjective
sequential circuit,sekventiella kretsar,NP,could not lemmatize swedish adjective
sequential programming,sekventiell programmering,NP,could not lemmatize swedish adjective
sequential-access memory,sekventiellt minne,NP,could not lemmatize swedish adjective
serial,seriell,A,automatically verified
series,serie,N,automatically verified
series expansion method,serieexpansionsmetoder,NP,automatically verified
serious,allvarlig,A,automatically verified
serve serves served serving,tjäna tjänar tjänat betjänar,NP,no processing rule for swedish POS sequence
service availability,tjänstens tillgänglighet,NP,suspected särskriving
service behavior,tjänsten beteende,NP,suspected särskriving
service creation,skapande av tjänster,NP,no processing rule for swedish POS sequence
service discovery,tjänst upptäckt,NP,suspected särskriving
service discovery protocol,tjänsteidentifieringsprotokollet,NP,automatically verified
service guarantee,servicegaranti,NP,automatically verified
service innovation,serviceinnovation,NP,automatically verified
service level agreement,servicenivåavtal,NP,automatically verified
service policy management,tjänstepolicyhantering,NP,automatically verified
service provider,tjänsteleverantörer,NP,automatically verified
service quality,servicekvalitet,NP,automatically verified
service,tjänst,N,automatically verified
session mobility,sessionsmobilitet,NP,automatically verified
session session,sessions sessioner,NP,suspected särskriving
session,session,N,automatically verified
set theory,mängdteori,NP,automatically verified
set,sätta,V,automatically verified
set,uppsättning,N,automatically verified
setting,inställning,N,automatically verified
settlement,settlement,N,automatically verified
setup set-up,inställning,NP,automatically verified
shading,skuggning,N,automatically verified
shading,skuggning,N,automatically verified
shallow,grund,A,automatically verified
shape,form,N,automatically verified
shape,form,N,automatically verified
shape,form,N,automatically verified
share,dela,V,automatically verified
shared memory,delat minne,NP,automatically verified
shared secret key,delade hemliga nycklar,NP,no processing rule for swedish POS sequence
shared-key,delad nyckel,NP,automatically verified
shared-memory,delat minne,NP,automatically verified
shareholder value,aktieägarvärde,NP,automatically verified
sharing,delning,N,automatically verified
sharing,fördelning,N,automatically verified
sheet,ark,N,automatically verified
shelf,hylla,N,automatically verified
shell,skal,N,automatically verified
shipping,leverans,N,automatically verified
shoot,skjuta,V,automatically verified
shopping,handel,N,automatically verified
short message service,tjänst för korta textmeddelanden,NP,no processing rule for swedish POS sequence
short message service injection,kortmeddelandetjänst injektion,NP,suspected särskriving
short-range,kortdistans,N,automatically verified
show shows showed showing,visa visar visade visning,NP,no processing rule for swedish POS sequence
show,visa,V,automatically verified
shutdown,avstängning,N,automatically verified
side channel,sidokanal,NP,automatically verified
side channel attack,sidokanalsattacker,NP,automatically verified
sight,syn,N,automatically verified
sign signing signed,underteckna signera signerad,NP,no processing rule for swedish POS sequence
signal processing,signalbehandling,NP,automatically verified
signal processing,signalbehandling,NP,automatically verified
signal processing system,signalbehandlingssystem,NP,automatically verified
signal processing,signalbehandling,NP,automatically verified
signal signals signaling signalling,signal signaler signalering,NP,suspected särskriving
signal strength,signalstyrka,NP,automatically verified
signaling,signalering,N,automatically verified
signaling transport,signaleringstrafiken,NP,automatically verified
signature,signatur,N,automatically verified
signed signing,tecknat tecknandet,NP,no processing rule for swedish POS sequence
significant,viktig,A,automatically verified
significant significance,signifikant betydelse,NP,automatically verified
silence,tystnad,N,automatically verified
silent,tyst,A,automatically verified
silica,kiseldioxid,N,automatically verified
silicon,silikon,N,automatically verified
similarity measure,likhetsmått,NP,automatically verified
similarity scoring function,likheten poängsättning funktion,NP,suspected särskriving
simple simpler,enkel enklare,NP,no processing rule for swedish POS sequence
simplifies simplified,förenklar förenklad,NP,no processing rule for swedish POS sequence
simply,helt enkelt,NP,no processing rule for swedish POS sequence
simulate,simulera,V,automatically verified
simulation,simulering,N,automatically verified
simulation,simulering,N,automatically verified
simulation,simulering,N,automatically verified
simulation,simulering,N,automatically verified
simulation,simulering,N,automatically verified
simulation,simulering,N,automatically verified
simulation,simulering,N,automatically verified
simulation,simulering,N,automatically verified
simulation language,simuleringsspråk,NP,automatically verified
simulation method,simuleringsmetod,NP,automatically verified
simulation output analysis,analys av simuleringsutdata,NP,no processing rule for swedish POS sequence
simulation support system,simuleringsstödsystem,NP,automatically verified
simulation theory,simuleringsteori,NP,automatically verified
simulation,simulering,N,automatically verified
simultaneous simultaneously,samtidig samtidigt,NP,no processing rule for swedish POS sequence
single,singel,N,automatically verified
single data stream architecture,arkitekturer med singeldataström,NP,no processing rule for swedish POS sequence
single-instruction-stream,processorer med singelinstruktionsström och flerdataström,NP,no processing rule for swedish POS sequence
single-instruction-stream,processorer med singelinstruktionsström och singeldataström,NP,no processing rule for swedish POS sequence
site,plats,N,automatically verified
situation,situation,N,automatically verified
situation analysis,nulägesanalys,NP,automatically verified
sketch,skissa,V,automatically verified
skill,färdighet,N,automatically verified
skin,hud,N,automatically verified
sleep sleeping,sömn sovande,NP,no processing rule for swedish POS sequence
slide slide,diabild diabilder,NP,suspected särskriving
slot,lucka,N,automatically verified
small cell,småceller,NP,automatically verified
smart,smart,A,automatically verified
smart grid,smart elnät,NP,automatically verified
smart home,smart hem,NP,automatically verified
smart meter,smart mätare,NP,automatically verified
smart object,smart objekt,NP,automatically verified
sniff sniffing,sniff sniffning,NP,could not lemmatize swedish adjective
so-called,så kallad,NP,no processing rule for swedish POS sequence
social interaction,social interaktion,NP,automatically verified
social issue,social fråga,NP,automatically verified
social socially,social socialt,NP,no processing rule for swedish POS sequence
sociology,sociologi,N,automatically verified
soft factor,mjuk faktor,NP,automatically verified
soft secure element,programvara säkerhetselement,NP,suspected särskriving
software architecture,mjukvaruarkitektur,NP,automatically verified
software architecture,programarkitekturer,NP,automatically verified
software as a service,mjukvara som en tjänst,NP,no processing rule for swedish POS sequence
software defined networking,programvara-definierat nätverk,NP,automatically verified
software deployment,mjukvaruimplementering,NP,automatically verified
software development,programutveckling,NP,automatically verified
software development assignment,mjukvaruutvecklingsuppgift,NP,automatically verified
software development kit,programutvecklingspaket,NP,automatically verified
software development process,mjukvaruutvecklingsprocesser,NP,automatically verified
software development process,mjukvaruutvecklingsprocess,NP,automatically verified
software development project,mjukvaruutvecklingsprojekt,NP,automatically verified
software development tool,programutvecklingsverktyg,NP,automatically verified
software development,mjukvaruutveckling,NP,automatically verified
software documentation,mjukvarudokumentation,NP,automatically verified
software engineer,mjukvaruingenjör,NP,automatically verified
software engineering,programkonstruktion,NP,automatically verified
software library,programbibliotek,NP,automatically verified
software maintenance,programunderhåll,NP,automatically verified
software management,programförvaltning,NP,automatically verified
software process,programprocess,NP,automatically verified
software psychology,programpsykologi,NP,automatically verified
software quality assurance,programkvalitetssäkring,NP,automatically verified
software selection,val av program,NP,no processing rule for swedish POS sequence
software support,programsupport,NP,automatically verified
software synthesis,programvara syntes,NP,no processing rule for swedish POS sequence
software system,mjukvarusystem,NP,automatically verified
software technology,programvaruteknik,NP,automatically verified
software tool,programmeringsverktyg,NP,automatically verified
software-defined network,mjukvarudefinierade nätverk,NP,could not lemmatize swedish adjective
software-defined networking,mjukvarudefinierade nätverk,NP,could not lemmatize swedish adjective
solid,solid,A,automatically verified
solution selling,lösning försäljning,NP,suspected särskriving
solution solution,lösning lösningar,NP,suspected särskriving
solution,lösning,N,automatically verified
solve,lösa,V,automatically verified
solve,lösa,V,automatically verified
sophisticated,sofistikerad,A,automatically verified
sort,sortera,V,automatically verified
sorting algorithm,sorteringsalgoritm,NP,automatically verified
sound card,ljudkort,NP,automatically verified
sound design,ljuddesign,NP,automatically verified
sound,ljuda,V,automatically verified
source code,källkod,NP,automatically verified
source source,källa källor,NP,suspected särskriving
source,källa,N,automatically verified
space,fördela,V,automatically verified
space,plats,N,automatically verified
spaced repetition,fördelad upprepning,NP,automatically verified
span,spänna,V,automatically verified
sparse,gles,A,automatically verified
spatial audio,rumsligt ljud,NP,automatically verified
spatial spatially,rumsliga spatialt,NP,no processing rule for swedish POS sequence
speaker recognition,talare erkännande,NP,suspected särskriving
special,särskild,A,automatically verified
special architecture,specialarkitekturer,NP,automatically verified
special specialized,speciell specialiserad,NP,no processing rule for swedish POS sequence
special-purpose algebraic system,specialinriktade algebraiska system,NP,no processing rule for swedish POS sequence
special-purpose hardware,specialinriktad maskinvara,NP,automatically verified
specialized application language,specialiserat applikationsspråk,NP,automatically verified
specific,specifik,A,automatically verified
specification specifications specific specifically,specifikations specifikationer specifik specifikt,NP,suspected särskriving
specification technique,specificeringstekniker,NP,automatically verified
specification,specifikation,N,automatically verified
specify specifies specified,specificera specificerar specificerade,NP,no processing rule for swedish POS sequence
spectrum sensing,spektrumanalys,NP,automatically verified
spectrum,spektrum,N,automatically verified
speculation,spekulering,N,automatically verified
speech,tal,N,automatically verified
speech communication,talkommunikation,NP,automatically verified
speech quality measurement,talkvalitetsanalys,NP,automatically verified
speech recognition,taligenkänning,NP,automatically verified
speed dependant parameter,hastighetsberoende parameter,NP,no processing rule for swedish POS sequence
speed,hastighet,N,automatically verified
spelling,stavning,N,automatically verified
spending,utgift,N,automatically verified
split,split,N,automatically verified
spoken dialogue system,talad systemet dialogen,NP,suspected särskriving
spontaneously,spontant,Ab,automatically verified
sporadic,sporadisk,A,automatically verified
spot,plats,N,automatically verified
spread,spridning,N,automatically verified
spreading code,spridningskod,NP,automatically verified
spring,vår,N,automatically verified
square,kvadrat,N,automatically verified
stable,stabil,A,automatically verified
stack,sticka,N,automatically verified
stack-oriented processor,stackorienterad processor,NP,automatically verified
staff,personal,N,automatically verified
stage,steg,N,automatically verified
stale,unken,A,automatically verified
stamp stamps stamped,stämpel stämplar stämplat,NP,no processing rule for swedish POS sequence
stand-alone system,fristående system,NP,no processing rule for swedish POS sequence
standard algorithm,standardalgoritm,NP,automatically verified
standard cell,standardcell,NP,automatically verified
standard class,standardklass,NP,automatically verified
standard library,standardbibliotek,NP,automatically verified
standard standards standardization standardized,standardnormer standardisering standardiseras,NP,suspected särskriving
standard,standard,N,automatically verified
standardization body,standardiseringsorgan,NP,automatically verified
standard,standard,N,automatically verified
standard,standard,N,automatically verified
standard,standard,N,automatically verified
standard,standard,N,automatically verified
standard,standard,N,automatically verified
standard,standard,N,automatically verified
standard,standard,N,automatically verified
standby stand-by,passning,NP,automatically verified
stand,stå,V,automatically verified
start starts starting started starter,starta startar igång starter,NP,no processing rule for swedish POS sequence
state chart,tillståndsdiagram,NP,automatically verified
state diagram,tillståndsdiagram,NP,automatically verified
state,konstatera,V,automatically verified
state,tillstånd,N,automatically verified
stateless,statslös,A,automatically verified
statement,uttalande,N,automatically verified
statement,sats,N,automatically verified
static,statisk,A,automatically verified
static,statisk,A,automatically verified
static memory,statiskt minne,NP,automatically verified
static memory,statiskt minne,NP,automatically verified
static random-access memory,statiskt minne,NP,automatically verified
station station,station stationer,NP,suspected särskriving
stationary,stationär,A,automatically verified
statistical,statistisk,A,automatically verified
statistical,statistisk,A,automatically verified
statistical,statistisk,A,automatically verified
statistical database,statistisk databas,NP,automatically verified
statistical method,statistisk metod,NP,automatically verified
statistic,statistik,N,automatically verified
statistics statistical statistically,statistik statistisk statist,NP,no processing rule for swedish POS sequence
statistic,statistik,N,automatically verified
status,status,N,automatically verified
stay,stanna,V,automatically verified
steer,styra,V,automatically verified
step height,steghöjd,NP,automatically verified
step,intensifiera,V,automatically verified
stereo,stereo,N,automatically verified
stereo,stereo,N,automatically verified
stereo,stereo,N,automatically verified
stewardship,förvaltarskap,N,automatically verified
still,fortfarande,N,automatically verified
stochastic analysis,stokastisk analys,NP,could not lemmatize swedish adjective
stock,aktie,N,automatically verified
storage,lagring,N,automatically verified
storage device,lagringsenhet,NP,automatically verified
storage hierarchy,lagringshierarkier,NP,automatically verified
storage management,lagringshantering,NP,automatically verified
storage technique,lagringsteknik,NP,automatically verified
storage,lagring,N,automatically verified
store stores stored storing,lagra lagrar lagras lagring,NP,no processing rule for swedish POS sequence
store,lagra,V,automatically verified
storm,storma,V,automatically verified
storm,storm,N,automatically verified
strategic development plan,strategisk utvecklingsplan,NP,automatically verified
strategic information systems planning,planering av strategiska informationssystem,NP,no processing rule for swedish POS sequence
strategic management,strategisk ledning,NP,automatically verified
strategy strategy,strategi strategier,NP,suspected särskriving
strategy,strategi,N,automatically verified
stream control transmission protocol,överföringsström kontrollprotokoll,NP,suspected särskriving
stream,strömma,V,automatically verified
stream,ström,N,automatically verified
streaming protocol,strömningsprotokoll,NP,automatically verified
strength,styrka,N,automatically verified
stretching,sträckning,N,automatically verified
strict,strikt,A,automatically verified
strictly,strikt,Ab,automatically verified
string matching,strängmatchning,NP,automatically verified
string string,sträng sträng,NP,automatically verified
string,sträng,N,automatically verified
strong authentication,stark autentisering,NP,automatically verified
strong stronger,stark starkare,NP,no processing rule for swedish POS sequence
structural,strukturell,A,automatically verified
structure,strukturera,V,automatically verified
structure,struktur,N,automatically verified
structured programming,strukturerad programmering,NP,automatically verified
structured programming,strukturerad programmering,NP,automatically verified
student housing,studentbostad,NP,automatically verified
student,student,N,automatically verified
study,studie,N,automatically verified
study,studera,V,automatically verified
style,stil,N,automatically verified
style,stil,N,automatically verified
submission,inlämning,N,automatically verified
subroutine,subrutin,N,automatically verified
subscribe message,prenumerera meddelande,NP,no processing rule for swedish POS sequence
subscribe subscribes,prenumerera prenumererar,NP,no processing rule for swedish POS sequence
subscriber identity module,abonnentidentitetsmodulen,NP,automatically verified
subscription subscription,abonnemangs abonnemang,NP,no processing rule for swedish POS sequence
subsidiary,dotterbolag,N,automatically verified
substitution,substitution,N,automatically verified
substitution mechanism,substitutionsmekanismer,NP,automatically verified
subsystem testing,test med delsystem,NP,no processing rule for swedish POS sequence
subsystem,subsystem,N,automatically verified
success factor,framgångsfaktor,NP,automatically verified
successful successfully,framgångsrik framgångsrikt,NP,no processing rule for swedish POS sequence
suddenly,plötsligt,Ab,automatically verified
sufficient,tillräcklig,A,automatically verified
suitability,lämplighet,N,automatically verified
suitable,lämplig,A,automatically verified
suite,svit,N,automatically verified
summarize,summera,V,automatically verified
summation method,summationsmetoder,NP,automatically verified
supervise,övervaka,V,automatically verified
supervision,handledning,N,automatically verified
supervisor,arbetsledare,N,automatically verified
supplement supplementary,komplement kompletterande,NP,no processing rule for swedish POS sequence
supplier,leverantör,N,automatically verified
supplier,leverantör,N,automatically verified
supply supply,försörjning förnödenheter,NP,suspected särskriving
support process,stödprocess,NP,automatically verified
support site,supportportal,NP,automatically verified
support supporting supported support,stödja stödjande bärare som stöds,NP,no processing rule for swedish POS sequence
support supports supported supporting,stöd bärare stöds stödjande,NP,no processing rule for swedish POS sequence
support vector machine,stödvektormaskin,NP,automatically verified
support,stödja,V,automatically verified
surface fitting,ytavpassning,NP,automatically verified
surface morphology,ytmorfologi,NP,automatically verified
surface optimization,yta optimering,NP,suspected särskriving
surface topography,yttopografi,NP,automatically verified
surplus,överskott,N,automatically verified
surveillance,övervakning,N,automatically verified
survey surveyed,enkät undersökta,NP,no processing rule for swedish POS sequence
suspends suspended,avstänger suspenderades,NP,no processing rule for swedish POS sequence
sustainable consumption,hållbar konsumtion,NP,automatically verified
sustainable development,hållbar utveckling,NP,automatically verified
sustainable lifestyle,hållbar livsstil,NP,automatically verified
sustainable solution,hållbar lösning,NP,automatically verified
swamp,träsk,N,automatically verified
swarm,svärm,N,automatically verified
swedish,svensk,A,automatically verified
switch switches switched switching,växel växlar dataväxel dataväxlar omkopplas omkopplings,NP,suspected särskriving
switch,strömbrytare,N,automatically verified
symbol,symbol,N,automatically verified
symbolic execution,symbolisk exekvering,NP,automatically verified
symmetric,symmetrisk,A,automatically verified
symmetric,symmetrisk,A,automatically verified
symmetric key management,symmetrisk nyckelhantering,NP,automatically verified
synchronization error,synkroniseringsfel,NP,automatically verified
synchronize synchronizes synchronized synchronization synchronous synchronizing,synkronisera synkroniserar synkroniserade synkroniserings synkron synkroniserings,NP,no processing rule for swedish POS sequence
synchronous,synkron,A,automatically verified
synchronous system,synkront system,NP,automatically verified
